,seqlength,par1_size,par2_size,RF,F1,runtime
0,50,66,499,14,99.37943262411348,10.457993984222412
1,50,56,509,16,99.29078014184397,9.655289888381958
2,50,58,507,16,99.29078014184397,9.75395393371582
3,50,60,505,30,98.67021276595744,9.82342267036438
4,50,99,466,30,98.67021276595744,10.595106840133667
5,50,102,463,30,98.67021276595744,10.729377269744873
6,50,107,458,30,98.67021276595744,10.69257640838623
7,50,109,456,30,98.67021276595744,10.745633840560913
8,50,125,440,16,99.29078014184397,11.123506307601929
9,50,126,439,16,99.29078014184397,11.082342624664307
10,50,133,432,16,99.29078014184397,11.23124384880066
11,50,70,495,20,99.11347517730496,9.972769975662231
12,50,203,362,38,98.31560283687944,12.576531171798706
13,50,230,335,38,98.31560283687944,12.641274452209473
14,50,296,269,52,97.6950354609929,12.900231122970581
15,50,315,250,52,97.6950354609929,13.086342811584473
16,50,317,248,52,97.6950354609929,13.101710557937622
17,50,328,237,52,97.6950354609929,12.817069292068481
18,50,331,234,52,97.6950354609929,12.982122421264648
19,50,335,230,52,97.6950354609929,13.092306852340698
20,50,336,229,52,97.6950354609929,12.82133412361145
21,50,343,222,52,97.6950354609929,12.84666109085083
22,50,356,209,52,97.6950354609929,12.877191305160522
23,50,358,207,52,97.6950354609929,12.659002780914307
24,50,361,204,52,97.6950354609929,12.608630418777466
25,50,55,510,16,99.29078014184397,9.911787271499634
26,50,59,506,24,98.93617021276596,9.901607036590576
27,50,67,498,2,99.91134751773049,10.219392538070679
28,50,77,488,22,99.02482269503547,10.564566850662231
29,50,98,467,44,98.04964539007094,10.926424264907837
30,50,99,466,44,98.04964539007094,10.817248821258545
31,50,108,457,44,98.04964539007094,11.13475251197815
32,50,110,455,42,98.13829787234043,11.109396696090698
33,50,113,452,42,98.13829787234043,11.012338876724243
34,50,117,448,42,98.13829787234043,11.143090009689331
35,50,118,447,42,98.13829787234043,11.047217845916748
36,50,119,446,42,98.13829787234043,11.14086651802063
37,50,121,444,42,98.13829787234043,11.291096925735474
38,50,123,442,44,98.04964539007094,11.312956809997559
39,50,152,413,46,97.96099290780141,12.03350281715393
40,50,153,412,46,97.96099290780141,12.079749822616577
41,50,154,411,46,97.96099290780141,11.933723449707031
42,50,195,370,54,97.6063829787234,12.519977807998657
43,100,66,499,18,99.20212765957446,9.985520839691162
44,100,56,509,24,98.93617021276596,9.824281454086304
45,100,58,507,24,98.93617021276596,9.775055646896362
46,100,60,505,24,98.93617021276596,10.05243182182312
47,100,99,466,26,98.84751773049645,10.860120058059692
48,100,102,463,26,98.84751773049645,10.91076111793518
49,100,107,458,26,98.84751773049645,10.974864959716797
50,100,109,456,30,98.67021276595744,11.086491346359253
51,100,125,440,30,98.67021276595744,11.429239273071289
52,100,126,439,30,98.67021276595744,11.353221893310547
53,100,133,432,30,98.67021276595744,11.607682943344116
54,100,70,495,20,99.11347517730496,10.2734055519104
55,100,203,362,32,98.58156028368793,12.75533413887024
56,100,230,335,30,98.67021276595744,13.036465167999268
57,100,296,269,74,96.71985815602837,13.302093505859375
58,100,315,250,74,96.71985815602837,13.19118881225586
59,100,317,248,72,96.80851063829788,13.206504821777344
60,100,328,237,72,96.80851063829788,13.057225465774536
61,100,331,234,74,96.71985815602837,12.978343963623047
62,100,335,230,74,96.71985815602837,13.03185772895813
63,100,336,229,74,96.71985815602837,13.049955368041992
64,100,343,222,74,96.71985815602837,12.85526156425476
65,100,356,209,72,96.80851063829788,12.672853231430054
66,100,358,207,72,96.80851063829788,12.603532791137695
67,100,361,204,72,96.80851063829788,12.781699895858765
68,100,55,510,14,99.37943262411348,9.920321702957153
69,100,59,506,14,99.37943262411348,9.885982990264893
70,100,67,498,48,97.87234042553192,10.029882431030273
71,100,77,488,48,97.87234042553192,10.452166080474854
72,100,98,467,28,98.75886524822694,10.768737316131592
73,100,99,466,28,98.75886524822694,10.692851066589355
74,100,108,457,28,98.75886524822694,11.042734622955322
75,100,110,455,34,98.49290780141844,11.044170379638672
76,100,113,452,34,98.49290780141844,11.120611190795898
77,100,117,448,34,98.49290780141844,11.256135940551758
78,100,118,447,34,98.49290780141844,11.217390537261963
79,100,119,446,34,98.49290780141844,11.357656478881836
80,100,121,444,34,98.49290780141844,11.375517845153809
81,100,123,442,34,98.49290780141844,11.441910028457642
82,100,152,413,32,98.58156028368793,12.099308013916016
83,100,153,412,32,98.58156028368793,11.95293927192688
84,100,154,411,40,98.22695035460994,12.098172664642334
85,100,195,370,70,96.89716312056737,12.76302981376648
86,400,66,499,14,99.37943262411348,10.127904176712036
87,400,56,509,20,99.11347517730496,9.774291753768921
88,400,58,507,20,99.11347517730496,9.863231897354126
89,400,60,505,20,99.11347517730496,9.882322072982788
90,400,99,466,32,98.58156028368793,10.831058502197266
91,400,102,463,30,98.67021276595744,10.931638479232788
92,400,107,458,26,98.84751773049645,11.027803897857666
93,400,109,456,26,98.84751773049645,10.986153364181519
94,400,125,440,24,98.93617021276596,11.379225730895996
95,400,126,439,24,98.93617021276596,11.287606000900269
96,400,133,432,24,98.93617021276596,11.527921438217163
97,400,70,495,20,99.11347517730496,10.186097145080566
98,400,203,362,10,99.55673758865247,12.768767833709717
99,400,230,335,10,99.55673758865247,12.885168075561523
100,400,296,269,6,99.7340425531915,13.188795804977417
101,400,315,250,32,98.58156028368793,12.980501413345337
102,400,317,248,32,98.58156028368793,13.101585865020752
103,400,328,237,20,99.11347517730496,13.050966024398804
104,400,331,234,24,98.93617021276596,13.03083610534668
105,400,335,230,20,99.11347517730496,12.956207513809204
106,400,336,229,20,99.11347517730496,12.997983455657959
107,400,343,222,22,99.02482269503547,12.90066146850586
108,400,356,209,36,98.40425531914893,12.766765356063843
109,400,358,207,36,98.40425531914893,12.905795574188232
110,400,361,204,38,98.31560283687944,12.696468830108643
111,400,55,510,14,99.37943262411348,9.725749969482422
112,400,59,506,14,99.37943262411348,9.968198299407959
113,400,67,498,14,99.37943262411348,9.978626012802124
114,400,77,488,24,98.93617021276596,10.242073774337769
115,400,98,467,10,99.55673758865247,10.636267900466919
116,400,99,466,10,99.55673758865247,10.823260307312012
117,400,108,457,10,99.55673758865247,10.837455987930298
118,400,110,455,38,98.31560283687944,11.250191926956177
119,400,113,452,32,98.58156028368793,11.216513395309448
120,400,117,448,28,98.75886524822694,11.34991192817688
121,400,118,447,28,98.75886524822694,11.358042240142822
122,400,119,446,30,98.67021276595744,11.290431261062622
123,400,121,444,30,98.67021276595744,11.285226583480835
124,400,123,442,30,98.67021276595744,11.368012189865112
125,400,152,413,30,98.67021276595744,11.9571213722229
126,400,153,412,40,98.22695035460994,11.957293272018433
127,400,154,411,38,98.31560283687944,11.967037439346313
128,400,195,370,10,99.55673758865247,12.714330434799194
129,600,66,499,18,99.20212765957446,10.133318901062012
130,600,56,509,4,99.82269503546101,9.900112390518188
131,600,58,507,4,99.82269503546101,10.078482389450073
132,600,60,505,4,99.82269503546101,10.140237092971802
133,600,99,466,32,98.58156028368793,11.097830772399902
134,600,102,463,32,98.58156028368793,11.155060768127441
135,600,107,458,30,98.67021276595744,11.185689449310303
136,600,109,456,28,98.75886524822694,11.202528715133667
137,600,125,440,12,99.46808510638297,11.459360837936401
138,600,126,439,12,99.46808510638297,11.588630437850952
139,600,133,432,8,99.64539007092199,11.7329261302948
140,600,70,495,20,99.11347517730496,10.385652542114258
141,600,203,362,6,99.7340425531915,12.954253911972046
142,600,230,335,6,99.7340425531915,13.264963150024414
143,600,296,269,18,99.20212765957446,13.397133827209473
144,600,315,250,22,99.02482269503547,13.432615041732788
145,600,317,248,22,99.02482269503547,13.372289419174194
146,600,328,237,44,98.04964539007094,13.3107590675354
147,600,331,234,44,98.04964539007094,13.033724308013916
148,600,335,230,44,98.04964539007094,13.115700721740723
149,600,336,229,44,98.04964539007094,13.130352020263672
150,600,343,222,24,98.93617021276596,13.132798194885254
151,600,356,209,8,99.64539007092199,12.957499504089355
152,600,358,207,12,99.46808510638297,12.904873132705688
153,600,361,204,24,98.93617021276596,12.929184913635254
154,600,55,510,24,98.93617021276596,9.875434637069702
155,600,59,506,12,99.46808510638297,10.089263439178467
156,600,67,498,36,98.40425531914893,10.26305079460144
157,600,77,488,12,99.46808510638297,10.393587589263916
158,600,98,467,8,99.64539007092199,10.868104934692383
159,600,99,466,8,99.64539007092199,10.87573766708374
160,600,108,457,10,99.55673758865247,11.08243441581726
161,600,110,455,50,97.78368794326242,11.11056923866272
162,600,113,452,32,98.58156028368793,11.16389513015747
163,600,117,448,28,98.75886524822694,11.290489912033081
164,600,118,447,22,99.02482269503547,11.371546745300293
165,600,119,446,22,99.02482269503547,11.348919868469238
166,600,121,444,16,99.29078014184397,11.35676121711731
167,600,123,442,20,99.11347517730496,11.422947883605957
168,600,152,413,18,99.20212765957446,11.882101774215698
169,600,153,412,18,99.20212765957446,11.97689437866211
170,600,154,411,18,99.20212765957446,12.04181718826294
171,600,195,370,24,98.93617021276596,12.769158124923706
172,800,66,499,10,99.55673758865247,10.100857973098755
173,800,56,509,16,99.29078014184397,9.882833003997803
174,800,58,507,16,99.29078014184397,9.860094547271729
175,800,60,505,16,99.29078014184397,9.974204778671265
176,800,99,466,12,99.46808510638297,10.805238485336304
177,800,102,463,12,99.46808510638297,10.919403314590454
178,800,107,458,34,98.49290780141844,11.058438062667847
179,800,109,456,34,98.49290780141844,11.012123823165894
180,800,125,440,20,99.11347517730496,11.43756651878357
181,800,126,439,20,99.11347517730496,11.432193756103516
182,800,133,432,40,98.22695035460994,11.573161363601685
183,800,70,495,28,98.75886524822694,10.318281650543213
184,800,203,362,6,99.7340425531915,12.822754144668579
185,800,230,335,6,99.7340425531915,13.06519627571106
186,800,296,269,20,99.11347517730496,13.332609176635742
187,800,315,250,22,99.02482269503547,13.198465347290039
188,800,317,248,22,99.02482269503547,13.191422700881958
189,800,328,237,26,98.84751773049645,13.212424516677856
190,800,331,234,26,98.84751773049645,13.090130090713501
191,800,335,230,34,98.49290780141844,13.073981046676636
192,800,336,229,26,98.84751773049645,13.091076374053955
193,800,343,222,38,98.31560283687944,12.965344429016113
194,800,356,209,12,99.46808510638297,12.962357997894287
195,800,358,207,12,99.46808510638297,12.774175643920898
196,800,361,204,12,99.46808510638297,12.754562854766846
197,800,55,510,14,99.37943262411348,9.91025447845459
198,800,59,506,14,99.37943262411348,9.976244688034058
199,800,67,498,20,99.11347517730496,10.261572360992432
200,800,77,488,20,99.11347517730496,10.507986783981323
201,800,98,467,12,99.46808510638297,10.897529363632202
202,800,99,466,12,99.46808510638297,10.918991088867188
203,800,108,457,12,99.46808510638297,11.045233249664307
204,800,110,455,14,99.37943262411348,11.1569082736969
205,800,113,452,4,99.82269503546101,11.278902053833008
206,800,117,448,40,98.22695035460994,11.301648378372192
207,800,118,447,42,98.13829787234043,11.303305387496948
208,800,119,446,46,97.96099290780141,11.412773847579956
209,800,121,444,54,97.6063829787234,11.525704860687256
210,800,123,442,58,97.4290780141844,11.421887874603271
211,800,152,413,24,98.93617021276596,12.165290355682373
212,800,153,412,24,98.93617021276596,12.145532608032227
213,800,154,411,22,99.02482269503547,12.340412855148315
214,800,195,370,12,99.46808510638297,12.948245525360107
215,1000,66,499,14,99.37943262411348,10.367957830429077
216,1000,56,509,6,99.7340425531915,10.125336647033691
217,1000,58,507,6,99.7340425531915,10.179194927215576
218,1000,60,505,8,99.64539007092199,10.162471294403076
219,1000,99,466,6,99.7340425531915,11.119844436645508
220,1000,102,463,6,99.7340425531915,11.146722316741943
221,1000,107,458,8,99.64539007092199,11.29203200340271
222,1000,109,456,28,98.75886524822694,11.319764375686646
223,1000,125,440,36,98.40425531914893,11.542206525802612
224,1000,126,439,32,98.58156028368793,11.67210340499878
225,1000,133,432,14,99.37943262411348,11.763943910598755
226,1000,70,495,18,99.20212765957446,10.345741748809814
227,1000,203,362,4,99.82269503546101,12.83488154411316
228,1000,230,335,12,99.46808510638297,13.102888107299805
229,1000,296,269,12,99.46808510638297,13.435120344161987
230,1000,315,250,22,99.02482269503547,12.974689960479736
231,1000,317,248,22,99.02482269503547,12.873424053192139
232,1000,328,237,22,99.02482269503547,12.721251249313354
233,1000,331,234,22,99.02482269503547,12.796332836151123
234,1000,335,230,22,99.02482269503547,12.656532287597656
235,1000,336,229,22,99.02482269503547,12.813734769821167
236,1000,343,222,30,98.67021276595744,12.572496175765991
237,1000,356,209,2,99.91134751773049,12.428958177566528
238,1000,358,207,2,99.91134751773049,12.384153127670288
239,1000,361,204,20,99.11347517730496,12.431319952011108
240,1000,55,510,16,99.29078014184397,9.572313070297241
241,1000,59,506,16,99.29078014184397,9.764588594436646
242,1000,67,498,16,99.29078014184397,9.87520146369934
243,1000,77,488,28,98.75886524822694,10.07299256324768
244,1000,98,467,10,99.55673758865247,10.59130597114563
245,1000,99,466,10,99.55673758865247,10.596080780029297
246,1000,108,457,8,99.64539007092199,10.704248666763306
247,1000,110,455,4,99.82269503546101,10.984759330749512
248,1000,113,452,28,98.75886524822694,10.997170686721802
249,1000,117,448,20,99.11347517730496,11.302314043045044
250,1000,118,447,20,99.11347517730496,11.30624532699585
251,1000,119,446,18,99.20212765957446,11.2227623462677
252,1000,121,444,18,99.20212765957446,11.354726314544678
253,1000,123,442,16,99.29078014184397,11.180354356765747
254,1000,152,413,18,99.20212765957446,11.875536441802979
255,1000,153,412,18,99.20212765957446,11.903398036956787
256,1000,154,411,16,99.29078014184397,11.929978132247925
257,1000,195,370,12,99.46808510638297,12.789519548416138
